product_type,color,actuation,illumination,mount_type,contact_config,bezel_type,eaton_sku
pushbutton,Black,momentary,no,flush,NO,silver,M22-D-S-K10
pushbutton,Black,momentary,no,flush,NC,silver,M22-D-S-K01
pushbutton,Black,momentary,no,flush,2NO,silver,M22-D-S-K20
pushbutton,Black,momentary,no,flush,2NC,silver,M22-D-S-K02
pushbutton,Black,momentary,no,flush,1NO-1NC,silver,M22-D-S-K11
pushbutton,Black,momentary,no,flush,NO,black,M22S-D-S-K10
pushbutton,Black,momentary,no,flush,NC,black,M22S-D-S-K01
pushbutton,Black,momentary,no,flush,2NO,black,M22S-D-S-K20
pushbutton,Black,momentary,no,flush,2NC,black,M22S-D-S-K02
pushbutton,Black,momentary,no,flush,1NO-1NC,black,M22S-D-S-K11
pushbutton,Black,momentary,no,flush,NO,metal,M22M-D-S-K10
pushbutton,Black,momentary,no,flush,NC,metal,M22M-D-S-K01
pushbutton,Black,momentary,no,flush,2NO,metal,M22M-D-S-K20
pushbutton,Black,momentary,no,flush,2NC,metal,M22M-D-S-K02
pushbutton,Black,momentary,no,flush,1NO-1NC,metal,M22M-D-S-K11
pushbutton,Red,momentary,no,flush,NO,silver,M22-D-R-K10
pushbutton,Red,momentary,no,flush,NC,silver,M22-D-R-K01
pushbutton,Red,momentary,no,flush,2NO,silver,M22-D-R-K20
pushbutton,Red,momentary,no,flush,2NC,silver,M22-D-R-K02
pushbutton,Red,momentary,no,flush,1NO-1NC,silver,M22-D-R-K11
pushbutton,Red,momentary,no,flush,NO,black,M22S-D-R-K10
pushbutton,Red,momentary,no,flush,NC,black,M22S-D-R-K01
pushbutton,Red,momentary,no,flush,2NO,black,M22S-D-R-K20
pushbutton,Red,momentary,no,flush,2NC,black,M22S-D-R-K02
pushbutton,Red,momentary,no,flush,1NO-1NC,black,M22S-D-R-K11
pushbutton,Red,momentary,no,flush,NO,metal,M22M-D-R-K10
pushbutton,Red,momentary,no,flush,NC,metal,M22M-D-R-K01
pushbutton,Red,momentary,no,flush,2NO,metal,M22M-D-R-K20
pushbutton,Red,momentary,no,flush,2NC,metal,M22M-D-R-K02
pushbutton,Red,momentary,no,flush,1NO-1NC,metal,M22M-D-R-K11
